policy,trial_id,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
reset_aware_weekly_priority,20,7,17,7900,7900,0,5565,5565,0,0,0.05087910626376547,0.7206545072750405,0.9669775401011275
five_hour_first,21,7,16,7688,7688,0,5606,5606,0,0,0.05866647154617648,0.565817774066576,0.95071513025204
seven_day_first,21,7,16,7529,7529,0,5565,5565,0,0,0.004250305097542047,0.5535798207028172,0.9549329515605276
weighted_score,21,7,16,7867,7867,0,5788,5788,0,0,0.012778949511977698,0.5781896792836783,0.9565410729771701
reset_aware_weekly_priority,21,7,16,7599,7599,0,5531,5531,0,0,0.021585780201835585,0.5580117528729296,0.9536425972671094
five_hour_first,22,7,16,10106,10106,0,7817,7817,0,0,0.08241098581401837,0.8459380985855037,0.9763527112771485
seven_day_first,22,7,16,9844,9844,0,7652,7652,9,9,0.00455653104569254,0.80787016753966,0.9803313636493968
weighted_score,22,7,16,9965,9965,0,7764,7764,0,0,0.01650360929037194,0.8177436114601212,0.980124000216975
reset_aware_weekly_priority,22,7,16,9908,9908,0,7784,7784,0,0,0.037750052021497366,0.8097723409034361,0.977202228888194
five_hour_first,23,3,13,7691,5983,1708,5763,4344,157,3,0.0,1.0,0.6358553337861041
seven_day_first,23,3,13,7841,5983,1858,5955,4425,215,45,0.0,1.0,0.6512919107636844
weighted_score,23,3,13,7675,5983,1692,5841,4416,151,20,0.0,1.0,0.6545570628094446
reset_aware_weekly_priority,23,3,13,7977,5983,1994,6006,4334,201,33,0.0,1.0,0.6300517341465289
five_hour_first,24,2,14,9820,3388,6432,6649,2020,283,7,0.0,1.0,0.2211686465271953
seven_day_first,24,2,14,9894,3388,6506,6728,2048,971,660,0.0,1.0,0.3177574555021271
weighted_score,24,2,14,10155,3388,6767,6855,2048,515,212,0.0,1.0,0.2699777081252357
reset_aware_weekly_priority,24,2,14,10059,3388,6671,6857,1992,777,419,0.0,1.0,0.2892835070579922
five_hour_first,25,4,7,3501,3501,0,2427,2427,0,0,0.05904093708374999,0.5213568879908504,0.9462315950907101
seven_day_first,25,4,7,3554,3554,0,2291,2291,0,0,0.002834617822112263,0.52011261801524,0.9517278000193128
weighted_score,25,4,7,3695,3695,0,2535,2535,0,0,0.028134178153344302,0.5456926030587503,0.9517558424905407
reset_aware_weekly_priority,25,4,7,3434,3434,0,2298,2298,0,0,0.041163686584481406,0.5097295404136549,0.9468565853829174
five_hour_first,26,2,3,2074,2074,0,1378,1378,0,0,0.02843032338920584,0.5071733917810728,0.9478743068391867
seven_day_first,26,2,3,2093,2093,0,1440,1440,0,0,0.003011088665449635,0.510404804007409,0.950739371534196
weighted_score,26,2,3,2094,2094,0,1365,1365,0,0,0.004247189682371644,0.5107166906065861,0.9506469500924215
