policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
seven_day_first,25,focused,same_reset,3,19,58132,4539,53593,43066,2531,5885,609,0.0,1.0,-0.015128276730307588
weighted_score,25,focused,same_reset,3,19,58259,4539,53720,43348,2514,4687,248,0.0,1.0,-0.02302671822982791
reset_aware_weekly_priority,25,focused,same_reset,3,19,58074,4539,53535,43229,2513,4936,322,0.0,1.0,-0.02097045020612373
reset_stagger_pressure,25,focused,same_reset,3,19,58492,4539,53953,43261,2482,4888,286,0.0,1.0,-0.022559982497734776
five_hour_first,26,focused,staggered_reset,2,20,65125,3277,61848,50156,1834,11358,0,0.0,1.0,-0.05563548878363231
seven_day_first,26,focused,staggered_reset,2,20,64962,3277,61685,49997,1823,11563,232,0.0,1.0,-0.05256344065634144
weighted_score,26,focused,staggered_reset,2,20,65002,3277,61725,49773,1841,11655,135,0.0,1.0,-0.05372588357311153
reset_aware_weekly_priority,26,focused,staggered_reset,2,20,65098,3277,61821,50317,1811,11497,133,0.0,1.0,-0.05402917003369018
reset_stagger_pressure,26,focused,staggered_reset,2,20,65029,3277,61752,50330,1813,11932,371,0.0,1.0,-0.05105547664710372
five_hour_first,27,focused,same_reset,3,24,34606,3899,30707,25147,2162,4827,16,0.0,1.0,0.0008586471492384451
seven_day_first,27,focused,same_reset,3,24,34351,3899,30452,24912,2139,6643,848,0.0,1.0,0.02006682510422475
weighted_score,27,focused,same_reset,3,24,34614,3899,30715,25016,2140,5125,339,0.0,1.0,0.01015786240772748
reset_aware_weekly_priority,27,focused,same_reset,3,24,34111,3899,30212,24624,2139,5510,566,0.0,1.0,0.017137279134763206
reset_stagger_pressure,27,focused,same_reset,3,24,34127,3899,30228,24666,2155,5063,250,0.0,1.0,0.009223282430895985
five_hour_first,28,focused,staggered_reset,3,27,61881,6223,55658,47041,3625,4217,13,0.0,1.0,-0.009877686801328084
seven_day_first,28,focused,staggered_reset,3,27,61453,6223,55230,47120,3615,6222,1024,0.0,1.0,0.014751416406180468
weighted_score,28,focused,staggered_reset,3,27,61251,6223,55028,46929,3670,4375,378,0.0,1.0,0.0036296496753925322
reset_aware_weekly_priority,28,focused,staggered_reset,3,27,61776,6223,55553,47212,3608,4922,523,0.0,1.0,0.005558394301318381
reset_stagger_pressure,28,focused,staggered_reset,3,27,61077,6223,54854,46543,3640,4724,265,0.0,1.0,-0.000712261744099496
five_hour_first,29,focused,same_reset,3,29,44667,5518,39149,33441,3258,3115,15,0.0,1.0,0.011554114517240477
seven_day_first,29,focused,same_reset,3,29,44947,5518,39429,33495,3260,5326,947,0.0,1.0,0.03693980751333012
weighted_score,29,focused,same_reset,3,29,44865,5518,39347,33608,3239,3408,374,0.0,1.0,0.026649070394836633
reset_aware_weekly_priority,29,focused,same_reset,3,29,44568,5518,39050,33009,3190,3827,402,0.0,1.0,0.02658410893289856
reset_stagger_pressure,29,focused,same_reset,3,29,45057,5518,39539,33496,3234,3620,387,0.0,1.0,0.025900090078069787
five_hour_first,30,focused,staggered_reset,3,17,35991,5197,30794,25981,3203,5010,6,0.0,1.0,0.03207828767715193
seven_day_first,30,focused,staggered_reset,3,17,36375,5197,31178,26321,3253,6016,637,0.0,1.0,0.04679102515847061
weighted_score,30,focused,staggered_reset,3,17,35877,5197,30680,26102,3232,5337,268,0.0,1.0,0.0398870289977733
reset_aware_weekly_priority,30,focused,staggered_reset,3,17,36095,5197,30898,26012,3169,5576,266,0.0,1.0,0.03839957644741476
reset_stagger_pressure,30,focused,staggered_reset,3,17,36674,5197,31477,26501,3184,5787,390,0.0,1.0,0.039341082511466674
five_hour_first,31,focused,staggered_reset,2,12,37274,2601,34673,29894,1503,2777,6,0.0,1.0,-0.038260116477178585
seven_day_first,31,focused,staggered_reset,2,12,37884,2601,35283,30302,1485,3890,271,0.0,1.0,-0.029238595015735447
weighted_score,31,focused,staggered_reset,2,12,37779,2601,35178,30440,1569,2851,100,0.0,1.0,-0.03365924212289964
reset_aware_weekly_priority,31,focused,staggered_reset,2,12,37998,2601,35397,30450,1491,2888,48,0.0,1.0,-0.0373498661247918
reset_stagger_pressure,31,focused,staggered_reset,2,12,37314,2601,34713,29918,1514,3093,127,0.0,1.0,-0.03239566606280689
five_hour_first,32,focused,same_reset,3,20,60886,6004,54882,46814,3528,10376,8,0.0,1.0,-0.01201646809061338
seven_day_first,32,focused,same_reset,3,20,61024,6004,55020,46711,3503,11115,726,0.0,1.0,-0.002582904803702074
weighted_score,32,focused,same_reset,3,20,60527,6004,54523,46421,3498,10620,336,0.0,1.0,-0.006979000275316338
reset_aware_weekly_priority,32,focused,same_reset,3,20,60526,6004,54522,46385,3508,10457,332,0.0,1.0,-0.006892738118876335
reset_stagger_pressure,32,focused,same_reset,3,20,60047,6004,54043,45840,3504,10576,328,0.0,1.0,-0.006246170270412077
five_hour_first,33,focused,staggered_reset,2,15,24535,4424,20111,18009,2616,2255,2,0.0,1.0,0.0626678996020987
