policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,peak_useful_five_hour,weekly_drift,mean_seven_day_utilization,objective_score
reset_near_expiry_reserve,8,focused,staggered_reset,3,33,62350,6547,55803,48080,3558,8201,572,0.03310657596371905,0.0,1.0,0.000969748299419787
five_hour_first,9,focused,staggered_reset,3,23,34223,5814,28409,27327,3639,3807,16,0.06768707482993228,0.0,1.0,0.056612931185069965
seven_day_first,9,focused,staggered_reset,3,23,34243,5814,28429,27047,3604,6001,947,0.0638321995464854,0.0,1.0,0.07439250030854053
weighted_score,9,focused,staggered_reset,3,23,33763,5814,27949,26889,3703,4165,331,0.07165532879818608,0.0,1.0,0.06907996868485716
reset_aware_weekly_priority,9,focused,staggered_reset,3,23,33907,5814,28093,26877,3539,4509,484,0.07086167800453538,0.0,1.0,0.07003174120192238
reset_stagger_pressure,9,focused,staggered_reset,3,23,34134,5814,28320,26998,3554,3994,198,0.07063492063492104,0.0,1.0,0.062346121695968565
reset_near_expiry_reserve,9,focused,staggered_reset,3,23,34087,5814,28273,27522,3562,4076,217,0.06649659863945608,0.0,1.0,0.0616045981267582
five_hour_first,10,focused,same_reset,3,24,36517,4668,31849,27528,2736,2268,14,0.036054421768707705,0.0,1.0,0.015581503352588066
seven_day_first,10,focused,same_reset,3,24,36648,4668,31980,27646,2738,5445,728,0.03520408163265332,0.0,1.0,0.030359921053243588
weighted_score,10,focused,same_reset,3,24,37171,4668,32503,27850,2679,3057,290,0.03588435374149689,0.0,1.0,0.023844072734852062
reset_aware_weekly_priority,10,focused,same_reset,3,24,36205,4668,31537,27230,2733,3754,170,0.03441043083900254,0.0,1.0,0.020988175146764265
reset_stagger_pressure,10,focused,same_reset,3,24,36713,4668,32045,27567,2752,2843,139,0.03231292517006816,0.0,1.0,0.019817983127364547
reset_near_expiry_reserve,10,focused,same_reset,3,24,36632,4668,31964,27725,2757,2501,139,0.036621315192744086,0.0,1.0,0.021367357293005068
five_hour_first,11,focused,same_reset,2,18,34791,3683,31108,28352,2227,2536,17,0.044387755102040814,0.0,1.0,-0.0028954267264510725
seven_day_first,11,focused,same_reset,2,18,34636,3683,30953,28248,2178,8343,527,0.042431972789115646,0.0,1.0,0.0034273227768269188
weighted_score,11,focused,same_reset,2,18,34162,3683,30479,28018,2219,3091,345,0.042346938775510205,0.0,1.0,0.01077106507174691
reset_aware_weekly_priority,11,focused,same_reset,2,18,34358,3683,30675,28203,2216,5656,466,0.04600340136054422,0.0,1.0,0.007280145631746032
reset_stagger_pressure,11,focused,same_reset,2,18,34989,3683,31306,28647,2208,2805,100,0.04370748299319728,0.0,1.0,-0.00034366249601155974
